country;store_url;address;GOOGLE_address;latitude;longitude
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-torino;Centro Commerciale Le Gru, Via Crea, 10, Grugliasco 10095;Via Crea, 10, 10095 Grugliasco TO, Italy;45.05632;7.612633400000001
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-torino-carlo-felice;Via Roma 367, angolo piazza Carlo Felice, Torino 10123;Piazza Carlo Felice, 10123 Torino TO, Italy;45.06424029999999;7.680061599999998
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-verona;Centro Commerciale Verona Adigeo, Viale delle Nazioni, 1, Verona 37135;Viale delle Nazioni, 1, 37135 Verona VR, Italy;45.40608839999999;10.9768653
Sweden;https://www.lego.com/en-us/stores/stores/se/stockholm;RÅSTA STRANDVÄGEN 19 169 56 SOLNA;Råsta Strandväg 19, 169 79 Solna, Sweden;59.3736804;17.9956914
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/bluewater;BLUEWATER SHOPPING CENTRE DA9 9SR GREENHITHE;Bluewater Pkwy, Dartford, Greenhithe DA9 9ST, UK;51.438814;0.2709928
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/brighton;CHURCHILL SQ SHOPPING CTR BN1 2TF BRIGHTON;Churchill Square Shopping Centre, Russell Pl, Brighton BN1 2RG, UK;50.822623;-0.1455925
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/cardiff;ST DAVIDS DEWI SANT CF10 2EF CARDIFF;St Davids Dewi Sant, Cardiff CF10 2EW, UK;51.48024479999999;-3.1755714
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/glasgow;220 BUCHANAN ST G1 2FF GLASGOW;1 / 2, 220 Buchanan St, Glasgow G1 2FF, UK;55.8644605;-4.2526418
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/leeds;ALBION STREET, UNTI 3.12 LS1 5AT LEEDS;3 Albion St, Leeds LS1, UK;53.7961787;-1.5450537
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/liverpool;LIVERPOOL ONE SHOPPING CTR L1 8BJ LIVERPOOL;Liverpool One Shopping Centre, 19 S John St, Liverpool L1 8BU, UK;53.4038023;-2.9869317
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/london-leicester-square;3 SWISS COURT W1D 6AP LONDON;3 Swiss Ct, London W1D 6AP, UK;51.5104258;-0.1309333
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/london-stratford;WESTFIELD STRATFORD CITY E20 1EH WESTFIELD STRATFORD CITY;Montfichet Rd, London E20 1EJ, UK;51.5431462;-0.007235399999999999
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/london-westfield;ARIEL WAY, SHEPHERD'S BUSH W12 7GF LONDON;Ariel Way, White City, London W12 7SL, UK;51.5091388;-0.2215622
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/manchester;ARNDALE SHOPPING CENTRE M4 3AQ MANCHESTER;Manchester M4 1AZ, UK;53.4831556;-2.2412102
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/milton-keynes;33 MIDSUMMER PLACE MK9 3GB MILTON KEYNES;33 Midsummer Blvd, Milton Keynes MK9 3GB, UK;52.0410084;-0.7571565
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/metro-centre-newcastle;UNIT 73, METROCENTRE NE11 9YG GATESHEAD;Metrocentre, Gateshead NE11 9YG, UK;54.9568771;-1.6688983
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/sheffield;MEADOWHALL SHOPPING CENTRE S9 1EP SHEFFIELD;Sheffield S9 1EP, UK;53.41415869999999;-1.4107775
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/watford;INTU WATFORD WD17 2UB WATFORD;Queen's Rd, Watford WD17 2UB, UK;51.655357;-0.3936
USA;https://www.lego.com/en-us/stores/stores/us/riverchase-galleria-mall;3000  RIVERCHASE GALLERIA #166 BIRMINGHAM AL 35244-2319;3000 Riverchase Galleria #166, Birmingham, AL 35244, USA;33.3789976;-86.8083643
USA;https://www.lego.com/en-us/stores/stores/us/arrowhead-towne-ctr;7700 W. ARROWHEAD TOWNE CTR GLENDALE AZ 85308;7700 W Arrowhead Towne Center, Glendale, AZ 85308, USA;33.6420644;-112.2252092
USA;https://www.lego.com/en-us/stores/stores/us/chandler-fashion-center;3111 W. CHANDLER BLVD CHANDLER AZ 85226-5071;3111 W Chandler Blvd, Chandler, AZ 85226, USA;33.3014704;-111.8984059
USA;https://www.lego.com/en-us/stores/stores/us/arden-fair-mall;1689 ARDEN WAY - SPACE 2170 SACRAMENTO CA 95815-4030;1689 Arden Way, Sacramento, CA 95815, USA;38.6008984;-121.4265998
USA;https://www.lego.com/en-us/stores/stores/us/anaheim;1585 S. DISNEYLAND DR ANAHEIM CA 92802-2320;1585 Disneyland Dr, Anaheim, CA 92802, USA;33.8088286;-117.9243967
USA;https://www.lego.com/en-us/stores/stores/us/fashion-valley;7007 FRIARS ROAD, SPACE 965A SAN DIEGO CA 92108-1199;7007 Friars Rd, San Diego, CA 92108, USA;32.7691647;-117.1655824
USA;https://www.lego.com/en-us/stores/stores/us/glendale-galleria;2130 GLENDALE GALLERIA GLENDALE CA 91210-2101;2130 Galleria Way, Glendale, CA 91210, USA;34.1451598;-118.2583508
USA;https://www.lego.com/en-us/stores/stores/us/hillsdale-shopping-center;341 HILLSDALE MALL SAN MATEO CA 94403-3426;341 W Hillsdale Blvd, San Mateo, CA 94403, USA;37.53285899999999;-122.3062476
USA;https://www.lego.com/en-us/stores/stores/us/ontario-mills;1 MILLS CIR STE 631 ONTARIO CA 91764-5255;1 Mills Cir #631, Ontario, CA 91764, USA;34.0731851;-117.5568265
USA;https://www.lego.com/en-us/stores/stores/us/south-coast-plaza;3333 BRISTOL STREET, SPC 1042 COSTA MESA CA 92626-1813;3333 Bristol St, Costa Mesa, CA 92626, USA;33.6910554;-117.8879158
USA;https://www.lego.com/en-us/stores/stores/us/stoneridge-shopping-center;1444 STONERIDGE MALL, D117A PLEASANTON CA 94588-3215;Space D117A, 1444 Stoneridge Mall Rd, Pleasanton, CA 94588, United States;37.6946998;-121.9287024
USA;https://www.lego.com/en-us/stores/stores/us/the-shops-at-mission-viejo;555 THE SHOPS AT MISSION VIEJO MISSION VIEJO CA 92691-6514;555 Shops At Mission Viejo, Mission Viejo, CA 92691, USA;33.55863350000001;-117.66804
USA;https://www.lego.com/en-us/stores/stores/us/san-francisco;865 MARKET STREET SPC C41 SAN FRANCISCO CA 94103-1953;865 Market St, San Francisco, CA 94103, USA;37.7840569;-122.4061984
USA;https://www.lego.com/en-us/stores/stores/us/topanga;6600  TOPANGA CANYON BLVD CANOGA PARK CA 91303;6600 Topanga Canyon Blvd, Canoga Park, CA 91303, USA;34.1854234;-118.6045534
USA;https://www.lego.com/en-us/stores/stores/us/san-diego;4545 LA JOLLA VILLAGE DRIVE SAN DIEGO CA 92122;4545 La Jolla Village Dr, San Diego, CA 92122, USA;32.8709699;-117.2095369
USA;https://www.lego.com/en-us/stores/stores/us/valley-fair;2855 STEVENS CREEK BLVD SANTA CLARA CA 95050-6709;2855 Stevens Creek Blvd, Santa Clara, CA 95050, USA;37.3255657;-121.9450002
USA;https://www.lego.com/en-us/stores/stores/us/colorado-mills;14500 W COLFAX AVE LAKEWOOD CO 80401-3203;14500 W Colfax Ave, Golden, CO 80401, USA;39.7315952;-105.1585621
USA;https://www.lego.com/en-us/stores/stores/us/park-meadows;8401 PARK MEADOWS CTR DR #1175 LONE TREE CO 80124-5128;8401 Park Meadows Center Dr #1175, Lone Tree, CO 80124, USA;39.5617732;-104.8748846
USA;https://www.lego.com/en-us/stores/stores/us/danbury-fair;7 BACKUS AVE DANBURY CT 06810;Danbury Fair Mall, 7 Backus Ave, Danbury, CT 06810, USA;41.3800517;-73.4817327
USA;https://www.lego.com/en-us/stores/stores/us/westfarms-mall;1500 NEW BRITAIN AVENUE WEST HARTFORD CT 06110;1500 New Britain Ave, West Hartford, CT 06110, USA;41.7230942;-72.7617619
USA;https://www.lego.com/en-us/stores/stores/us/christiana-mall;132 CHRISTIANA MALL, #1547 NEWARK DE 19702-3202;132 Christiana Mall, Newark, DE 19702, USA;39.6785388;-75.65215359999999
USA;https://www.lego.com/en-us/stores/stores/us/aventura-mall;19575 BISCAYNE BLVD, RM 353 MIAMI FL 33180-2331;19575 Biscayne Blvd, Aventura, FL 33180, USA;25.9569172;-80.1426242
USA;https://www.lego.com/en-us/stores/stores/us/orlando;1672 E BUENA VISTA DR LAKE BUENA VISTA FL 32830-8401;1672 Buena Vista Dr, Orlando, FL 32836, USA;28.371292;-81.5158392
USA;https://www.lego.com/en-us/stores/stores/us/sawgrass-mills;12801 W SUNRISE BLVD, SP. 1011 SUNRISE FL 33323-4007;12801 W Sunrise Blvd #1011, Sunrise, FL 33323, USA;26.1515406;-80.3205574
USA;https://www.lego.com/en-us/stores/stores/us/north-point-mall;1000 NORTH POINT CIRCLE  #1150 ALPHARETTA GA 30022-4853;1000 North Point Cir #1150, Alpharetta, GA 30022, USA;34.0471436;-84.29512679999999
USA;https://www.lego.com/en-us/stores/stores/us/sugarloaf-mills;5900 SUGARLOAF PKWY LAWRENCEVILLE GA 30043-7854;5900 Sugarloaf Pkwy, Lawrenceville, GA 30043, USA;33.9808337;-84.0807159
USA;https://www.lego.com/en-us/stores/stores/us/ala-moana-center;1450 ALA MOANA BLVD STE 2032 HONOLULU HI 96814-4614;1450 Ala Moana Blvd #2032, Honolulu, HI 96814, USA;21.2903244;-157.8427068
USA;https://www.lego.com/en-us/stores/stores/us/gurnee-mills;6170 W GRAND AVE GURNEE IL 60031;6170 W Grand Ave, Gurnee, IL 60031, USA;42.3834464;-87.95524759999999
USA;https://www.lego.com/en-us/stores/stores/us/northbrook-court;2024 NORTHBROOK CT NORTHBROOK IL 60062-1411;2024 Northbrook Ct, Northbrook, IL 60062, USA;42.1518443;-87.8170583
USA;https://www.lego.com/en-us/stores/stores/us/orland-square;732 ORLAND SQUARE ORLAND PARK IL 60462-3221;732 Orland Square Dr, Orland Park, IL 60462, USA;41.6197241;-87.8489594
USA;https://www.lego.com/en-us/stores/stores/us/water-tower-place;835 N MICHIGAN AVE CHICAGO IL 60611-2193;835 N Michigan Ave, Chicago, IL 60611, USA;41.8979672;-87.62355939999999
USA;https://www.lego.com/en-us/stores/stores/us/woodfield-mall;5 WOODFIELD MALL SCHAUMBURG IL 60173-5012;5 Woodfield Mall, Schaumburg, IL 60173, USA;42.0464358;-88.0369224
USA;https://www.lego.com/en-us/stores/stores/us/castleton-square;6020 E 82ND ST INDIANAPOLIS IN 46250-5508;6020 E 82nd St, Indianapolis, IN 46250, USA;39.9092285;-86.06538619999999
USA;https://www.lego.com/en-us/stores/stores/us/oak-park-mall;11149 WEST 95TH STREET,  # 18A OVERLAND PARK KS 66214-1824;11149 W 95th St #18a, Overland Park, KS 66214, USA;38.9536069;-94.7202709
USA;https://www.lego.com/en-us/stores/stores/us/burlington-mall;75 MIDDLESEX TPKE BURLINGTON MA 01803-5389;75 Middlesex Turnpike, Burlington, MA 01803, USA;42.482354;-71.21367459999999
USA;https://www.lego.com/en-us/stores/stores/us/natick-collection;1245 WORCESTER ST NATICK MA 01760-1515;1245 Worcester St, Natick, MA 01760, USA;42.301113;-71.3819171
USA;https://www.lego.com/en-us/stores/stores/us/northshore-mall;210 ANDOVER STREET, SPACE 169C PEABODY MA 01960-1647;210 Andover St, Peabody, MA 01960, USA;42.5412609;-70.94396640000001
USA;https://www.lego.com/en-us/stores/stores/us/south-shore-plaza;250 GRANITE ST. - SPACE 1064 BRAINTREE MA 02184-2804;250 Granite St, Braintree, MA 02184, USA;42.22172219999999;-71.0220568
USA;https://www.lego.com/en-us/stores/stores/us/arundel-mills;7000 ARUNDEL MILLS CIR STE 420 HANOVER MD 21076-1293;7000 Arundel Mills Cir #420, Hanover, MD 21076, USA;39.1573631;-76.7252493
USA;https://www.lego.com/en-us/stores/stores/us/westfield-annapolis;1260 ANNAPOLIS MALL ANNAPOLIS MD 21401-3075;1260 Annapolis Mall Rd, Annapolis, MD 21401, USA;38.9888361;-76.5481638
USA;https://www.lego.com/en-us/stores/stores/us/the-somerset-collection;2800 W BIG BEAVER RD STE V-352 TROY MI 48084-3234;2800 W Big Beaver Rd #352, Troy, MI 48084, USA;42.5627151;-83.18404149999999
USA;https://www.lego.com/en-us/stores/stores/us/mall-of-america;164 SOUTH AVENUE BLOOMINGTON MN 55425-5525;164 South Avenue, Bloomington, MN 55425, USA;44.8532588;-93.2424856
USA;https://www.lego.com/en-us/stores/stores/us/west-county;55 WEST COUNTY CENTER DES PERES MO 63131-3701;55 W County Center Dr, Des Peres, MO 63131, USA;38.6023854;-90.4480288
USA;https://www.lego.com/en-us/stores/stores/us/concord-mills;8111 CONCORD MILLS BLVD STE206 CONCORD NC 28027-6468;8111 Concord Mills Boulevard #206, Concord, NC 28027, USA;35.3700689;-80.7239298
USA;https://www.lego.com/en-us/stores/stores/us/crabtree-mall;4325 GLENWOOD AVE STE 1078 RALEIGH NC 27612-4520;4325 Glenwood Ave #1078, Raleigh, NC 27612, USA;35.8400058;-78.6791806
USA;https://www.lego.com/en-us/stores/stores/us/southpark;4400 SHARON ROAD, UNIT M-05 CHARLOTTE NC 28211-3531;4400 Sharon Rd #05, Charlotte, NC 28211, USA;35.1522311;-80.8318968
USA;https://www.lego.com/en-us/stores/stores/us/bridgewater-commons;400 COMMONS WAY BRIDGEWATER NJ 08807-2800;400 Commons Way, Bridgewater, NJ 08807, USA;40.5863872;-74.6199134
