"TEMPEXT"|"KWCLT"|"KWIT"
28,849733|331,95|461,78
28,849733|296,66|461,02
28,859741|302,59|463,35
28,859741|298,11|455,75
28,879745|299,4|459,06
28,889753|330,69|462,04
28,889753|308,42|462,4
28,909758|341,42|467,23
28,919765|290,35|476,77
28,919765|320,69|461,14
28,93977|258,09|460,81
28,93977|316,24|470,9
28,949776|286,5|460,64
28,959784|313,52|470,56
28,959784|291,32|473,52
28,959784|320|462,34
28,959784|311,96|458,35
28,959784|287,45|458,02
28,979788|324,01|462,43
28,979788|312,33|460,14
28,9998|299,83|462,23
28,9998|297,56|459,77
29,009806|313,23|469,31
29,009806|292,03|460,69
29,019804|295,9|460,61
29,039816|317,86|460,87
29,039816|298,29|461,95
29,039816|285,61|464,94
29,039816|296,94|474,61
29,049814|333,83|469,61
29,049814|326,88|462,39
29,049814|315,14|470,53
29,069826|325,43|471,43
29,069826|299,96|459,84
29,069826|305,29|462,79
29,079832|319,38|471,06
29,08983|299,29|461,54
29,099836|323,53|468,85
29,099836|319,9|468,79
29,099836|296,62|458,03
29,099836|319,05|461,52
29,099836|335,37|476,91
29,109842|314,51|469,32
29,119841|296,03|452,17
29,119841|330,58|467,68
29,129847|312,96|451,63
29,149857|330,38|469,46
29,159855|323,18|460,25
29,169861|320,52|461,77
29,179865|339,51|461,89
29,199869|339,25|468,73
29,199869|323,42|459,47
29,209875|336,61|462,13
29,219879|332,36|464,9
29,229877|327,71|463,34
29,239882|308,91|477,45
29,249887|339,82|464,62
29,249887|316,02|467,79
29,26989|285,76|470,68
29,279896|318,62|468,49
29,299898|319,95|475,89
29,299898|311,11|456,17
29,299898|316,16|473,58
29,299898|327,08|468,25
29,329912|322,23|468,5
29,339909|344,07|462,81
29,339909|353,52|465,33
29,359919|327,98|479,85
29,369915|314,75|467,01
29,379921|292,4|468,54
29,379921|282,43|460,51
29,389925|318,66|462,06
29,399929|315,91|472,02
29,399929|314,56|462,96
29,399929|323,97|475,7
29,419931|307,86|461,5
29,419931|319,66|467,21
29,419931|352,74|474,28
29,439932|290,3|460,92
29,439932|296,65|465,17
29,449936|310,27|468,59
29,449936|310,84|457,68
29,449936|306,88|471,72
29,45994|311,2|464,23
29,45994|294,55|460,06
29,45994|320,19|463,07
29,469946|303,41|469,07
29,489946|301,66|462,75
29,49995|322,6|474,26
29,509954|354,49|480,96
29,519951|306,36|455,42
29,519951|308,74|471
29,529955|325,53|470,51
29,529955|356,09|465,99
29,539959|313,6|460,54
29,539959|334,33|470,59
29,549955|321,39|468,49
29,559959|293,69|475,51
29,559959|325,22|462,31
29,559959|336,17|462,04
29,569963|318,43|470,74
29,579967|296,12|462,68
29,579967|310,12|461,9
29,589962|331,08|461,18
29,589962|303,15|473,17
29,599966|322,4|467,35
29,599966|308,66|461,65
29,60997|314,55|467,28
29,60997|312,79|460,56
29,60997|337,11|464,95
29,619967|311,66|460,95
29,649977|353,65|473,95
29,659973|287,87|455,67
29,659973|307,89|467,7
29,669977|339,32|468,6
29,679979|319,61|467,63
29,679979|315,7|462,46
29,679979|312,08|462,23
29,69998|330,18|460,65
29,69998|300,16|462,23
29,72998|350,58|472,6
29,72998|320,84|470,23
29,739985|310,87|469,65
29,739985|333,38|459,3
