country;store_ulr;address
USA;https://www.lego.com/en-us/stores/stores/us/northbrook-court;2024 NORTHBROOK CT NORTHBROOK IL 60062-1411
USA;https://www.lego.com/en-us/stores/stores/us/orland-square;732 ORLAND SQUARE ORLAND PARK IL 60462-3221
USA;https://www.lego.com/en-us/stores/stores/us/water-tower-place;835 N MICHIGAN AVE CHICAGO IL 60611-2193
USA;https://www.lego.com/en-us/stores/stores/us/woodfield-mall;5 WOODFIELD MALL SCHAUMBURG IL 60173-5012
USA;https://www.lego.com/en-us/stores/stores/us/castleton-square;6020 E 82ND ST INDIANAPOLIS IN 46250-5508
USA;https://www.lego.com/en-us/stores/stores/us/oak-park-mall;11149 WEST 95TH STREET,  # 18A OVERLAND PARK KS 66214-1824
USA;https://www.lego.com/en-us/stores/stores/us/burlington-mall;75 MIDDLESEX TPKE BURLINGTON MA 01803-5389
USA;https://www.lego.com/en-us/stores/stores/us/natick-collection;1245 WORCESTER ST NATICK MA 01760-1515
USA;https://www.lego.com/en-us/stores/stores/us/northshore-mall;210 ANDOVER STREET, SPACE 169C PEABODY MA 01960-1647
USA;https://www.lego.com/en-us/stores/stores/us/south-shore-plaza;250 GRANITE ST. - SPACE 1064 BRAINTREE MA 02184-2804
USA;https://www.lego.com/en-us/stores/stores/us/arundel-mills;7000 ARUNDEL MILLS CIR STE 420 HANOVER MD 21076-1293
USA;https://www.lego.com/en-us/stores/stores/us/westfield-annapolis;1260 ANNAPOLIS MALL ANNAPOLIS MD 21401-3075
USA;https://www.lego.com/en-us/stores/stores/us/the-somerset-collection;2800 W BIG BEAVER RD STE V-352 TROY MI 48084-3234
USA;https://www.lego.com/en-us/stores/stores/us/mall-of-america;164 SOUTH AVENUE BLOOMINGTON MN 55425-5525
USA;https://www.lego.com/en-us/stores/stores/us/west-county;55 WEST COUNTY CENTER DES PERES MO 63131-3701
USA;https://www.lego.com/en-us/stores/stores/us/concord-mills;8111 CONCORD MILLS BLVD STE206 CONCORD NC 28027-6468
USA;https://www.lego.com/en-us/stores/stores/us/crabtree-mall;4325 GLENWOOD AVE STE 1078 RALEIGH NC 27612-4520
USA;https://www.lego.com/en-us/stores/stores/us/southpark;4400 SHARON ROAD, UNIT M-05 CHARLOTTE NC 28211-3531
USA;https://www.lego.com/en-us/stores/stores/us/bridgewater-commons;400 COMMONS WAY BRIDGEWATER NJ 08807-2800
USA;https://www.lego.com/en-us/stores/stores/us/cherry-hill;2000 RTE 38 UNIT 1095 CHERRY HILL NJ 08002-2122
USA;https://www.lego.com/en-us/stores/stores/us/raceway;3710 ROUTE 9 FREEHOLD NJ 07728-4800
USA;https://www.lego.com/en-us/stores/stores/us/jersey-gardens;651 KAPKOWSKI ROAD, #1462 ELIZABETH NJ 07201-4934
USA;https://www.lego.com/en-us/stores/stores/us/westfield-garden-state-plaza;1 GARDEN STATE PLAZA PARAMUS NJ 07652-2404
USA;https://www.lego.com/en-us/stores/stores/us/fashion-show;3200 SOUTH LAS VEGAS BLVD LAS VEGAS NV 89109
USA;https://www.lego.com/en-us/stores/stores/us/eastview;7979 PITTSFORD VICTOR RD,131B VICTOR NY 14564
USA;https://www.lego.com/en-us/stores/stores/us/flatiron-district;200 5TH AVENUE NEW YORK NY 10010-3302
USA;https://www.lego.com/en-us/stores/stores/us/palisades-center;3462 PALISADES CENTER DR WEST NYACK NY 10994-6604
USA;https://www.lego.com/en-us/stores/stores/us/queens-center;90-15 QUEENS BLVD STE 1076 ELMHURST NY 11373-4913
USA;https://www.lego.com/en-us/stores/stores/us/rockefeller-center;620 FIFTH AVENUE @ 50TH STREET NEW YORK NY 10020-2402
USA;https://www.lego.com/en-us/stores/stores/us/roosevelt-field;630 OLD COUNTRY RD UNIT 1057 GARDEN CITY NY 11530-3470
USA;https://www.lego.com/en-us/stores/stores/us/staten-island-mall;2655 RICHMOND AVE, UNIT 1285 NEW YORK NY 10314
USA;https://www.lego.com/en-us/stores/stores/us/westchester;125 WESTCHESTER AVE WHITE PLAINS NY 10601-4522
USA;https://www.lego.com/en-us/stores/stores/us/beachwood-place;26300 CEDAR RD BEACHWOOD OH 44122-1160
USA;https://www.lego.com/en-us/stores/stores/us/easton-town-center;4004 GRAMERCY ST COLUMBUS OH 43219-6133
USA;https://www.lego.com/en-us/stores/stores/us/kenwood-towne-centre;7875 MONTGOMERY RD SPC 2109 CINCINNATI OH 45236-4380
USA;https://www.lego.com/en-us/stores/stores/us/penn-square-mall;1901 NW EXPRESSWAY STE 1058B OKLAHOMA CITY OK 73118-9217
USA;https://www.lego.com/en-us/stores/stores/us/washington-square;9410 SW WASHINGTON SQ RD #K11 TIGARD OR 97223-4447
USA;https://www.lego.com/en-us/stores/stores/us/king-of-prussia-mall;160 N. GULPH RD - SPACE 1150 KING OF PRUSSIA PA 19406-2911
USA;https://www.lego.com/en-us/stores/stores/us/providence-place;97 PROVIDENCE PLACE, UNIT 3165 PROVIDENCE RI 02903-1752
